# Exit-residue ratchet baseline (RFC-0114 §25; restored on the wasm route by
# RFC-0125 §3 M4). One row per example the route builds:
#
#   name<TAB>clean | leak<TAB><max blocks> | other
#
# clean: exits its own code with zero residue under an audited build.
# leak N: at most N blocks of residue. other: exits nonzero by design and the
# audit stays quiet. An example with no row must come out clean; shrinking a
# leak row is the ratchet turning, and it only turns one way.
#
# A program that does not build is not a row: `route.rs`'s three lists
# (KNOWN_DIVERGENT, EXPECTED_CHECK_FAILURE, WASM_ONLY) own that question, and
# `residue.rs` takes the corpus they leave.
#
# The leak column is EMPTY again, at 175 clean / 0 leaking / 0 double-free on
# both engines (2026-09-11). It held 26 rows when the wasm route was first
# measured and the last three closed with the stored closure's release twin,
# the capture a source mints, and the value `?` copies — so every leak from
# here is a regression and a red gate, which is the only state this column is
# meant to have.
aliascontext	clean
appendreserve	clean
args	clean
argsdemo	clean
arrays	clean
assoctype	clean
autorelease	clean
autovalidate	clean
benching	clean
binarytrees	clean
# nestedsum read 6 when this file was written and 7 once RFC-0125 §3 M3's type
# slice merged beside it: that slice's manifest note says the program trades
# one free for a memory.copy, and the block that free reclaimed is the one
# that now stays. Grown by hand, with this reason, for the leak triage to
# read at the source (2026-09-07).
bits	other
blockarms	clean
branchtypes	clean
bytecount	clean
bytesrange	clean
capturefn	clean
clearkeep	clean
clidemo	clean
clifail	other
clock	clean
closures2	other
codecbytes	clean
concurrency	clean
consume	other
consume_handover	clean
consumeloop	clean
container	clean
contractquery	clean
controlflow	clean
copy	clean
domdemo	clean
ecs	clean
encoding	clean
enum	other
enumarray	clean
enumcodec	clean
eventloop	clean
externdemo2	clean
fallible	clean
falliblegeneric	clean
fannkuch	clean
fasta	clean
fib	other
fieldmut	clean
files	clean
finitekeys	clean
floats	other
fnvalarg	clean
fnvalstore	clean
foreach	other
freelist	other
gendemo	clean
genericpayload	clean
generics	clean
genref	clean
gentable	clean
graphql	clean
herofield	clean
htmlrefuse	other
htmltree	other
i18ndemo	clean
ifexpr	clean
inlinewhere	clean
input	clean
intkeys	clean
jchain	clean
jsonbytes	clean
jsoncodec	other
jsondecbytes	clean
jsondepth	clean
jsonplace	clean
jsonschema	clean
knucleotide	clean
lambdas	clean
langbench	clean
lazyfield	clean
linkedlist	other
listdir	clean
logging	clean
looptemp	clean
mandelbrot	clean
map	clean
mapdemo	clean
mapkey	clean
mapkeyowned	clean
matchown	clean
membench	clean
modify	other
modifyself	clean
modules	clean
mustuse	clean
namedplace	clean
namespace	clean
nbody	clean
nestedsum	clean
numbytes	clean
numparse	clean
option	clean
ownedcontainer	clean
ownership	other
pagesdemo	clean
parallel	clean
patchdemo	clean
pidigits	clean
placeorder	clean
projection	clean
protocol	clean
protoplace	clean
protorec	clean
recdepth	other
record	clean
reflection	clean
refutablelet	clean
regex	clean
regexredux	clean
region	other
regionarena	clean
regionescape	clean
releaseacrossexit	clean
releaseacrosstry	clean
rest	clean
revcomp	clean
rpc	clean
rpcsplit	clean
scan	clean
schemaimport	clean
server	clean
sha1	clean
shadowbuiltin	clean
shadowing	clean
show	clean
simd	clean
simdbench	clean
simdint	clean
simdmem	clean
simdmem2	clean
simdoob	other
simdoobstore	other
simdround	clean
simdwide	clean
sizedints	clean
slots	other
slottable	clean
smallarray	clean
spectralnorm	clean
statemod	clean
storage	clean
stream	clean
streamlazy	clean
streammove	clean
streamops	clean
streamunfold	clean
stringops	clean
strings	other
strpredbytes	clean
tagged	clean
tallybytes	other
templates	clean
testing	clean
textbytes	clean
threeengines	clean
tree	other
tryplace	clean
twdemo	clean
utility	clean
validate	clean
validate_fail	other
validate_store	other
validate_sum	other
validatestr	clean
validation	other
vlog	clean
vondemo	clean
vyxdemo	clean
wirekey	clean
